id,tyc,gaia,hyg,hip,hd,hr,gl,bayer,flam,con,proper,ra,dec,pos_src,dist,x0,y0,z0,dist_src,mag,absmag,ci,mag_src,rv,rv_src,pm_ra,pm_dec,pm_src,vx,vy,vz,spect,spect_src
1655490,3503-933-1,1.40866416831218E+018,82157,82408,NULL,NULL,GJ 3977,NULL,NULL,Her,NULL,16.84068051,47.73854304,T,29.7241,-5.974,-19.076,21.998,G_R3,9.49,7.124,1.18,HIP,-0.138,G_R3,-113.898,-39.185,G_R3,-16.509,0.986,-3.816,K5,HYG
1655567,6813-1444-1,6.0347745080137E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sco,NULL,16.84154426,-25.25966767,T,43.684,-11.799,-37.704,-18.641,G_R3,10.979,7.777,1.184,T,35.107,G_R3,-11.79,21.913,G_R3,-12.391,-31.42,-10.877,NULL,N
1656092,7880-2279-1,5.96444101260879E+018,82183,82434,326267,NULL,NULL,NULL,NULL,Sco,NULL,16.84694244,-43.78688471,T,39.8846,-8.56,-27.491,-27.599,G_R3,10.06,7.056,1.094,HIP,28.604,G_R3,5.35,-396.476,G_R3,10.248,29.51,-73.91,K2,HYG
1656217,NULL,4.35347602056573E+018,119109,NULL,NULL,NULL,GJ 3975,NULL,NULL,Oph,NULL,16.848211,-4.845989,GJ,18.1494791099495,-5.371,-17.269,-1.533,G_R3,13.4,12.106,NULL,GJ,NULL,OTHER,-750.125,-235.404,G_R3,-61.118,20.801,-20.181,NULL,NULL
1656244,3071-817-1,1.35160432519454E+018,82189,82440,NULL,NULL,GJ 3978,NULL,NULL,Her,NULL,16.84843662,38.15036528,T,30.1686,-7.045,-22.654,18.636,G_R3,9.2,6.802,1.093,HIP,-19.621,G_R3,34.837,62.872,G_R3,10.988,18.559,-5.05,K8,T
1656320,2601-227-1,1.32708308559141E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Her,NULL,16.84913089,35.93234389,T,34.8978,-8.386,-26.984,20.479,G_R3,11.524,8.81,2.429,T,-37.467,G_R3,-78.811,177.795,G_R3,1.674,49.323,1.829,NULL,N
1656335,NULL,4.5661589914303E+018,119110,NULL,NULL,NULL,GJ 3976,NULL,NULL,Her,NULL,16.849259,22.450627,GJ,10.4690226853253,-2.871,-9.24,3.998,G_R3,14.08,13.98,1.75,GJ,-46,OTHER,36.487,400.126,G_R3,16.594,47.303,0.786,NULL,NULL
1656611,2070-780-1,1.30805806409741E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Her,NULL,16.85202747,28.60029107,T,35.9383,-9.341,-30.139,17.204,G_R3,11.871,9.093,2.169,T,-46.637,G_R3,-24.443,114.977,G_R3,10.92,49.3,-5.127,NULL,N
1656995,6821-1412-1,6.03289564880696E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sco,NULL,16.85580375,-28.73383851,T,47.0378,-12.171,-39.409,-22.613,G_R3,10.841,7.479,1.418,T,-20.756,G_R3,-5.867,48.721,G_R3,2.579,12.785,19.504,NULL,N
1657274,4420-1081-1,1.64891099803434E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dra,NULL,16.85844155,68.53710066,T,34.7802,-3.747,-12.162,32.368,G_R3,11.358,8.651,1.504,T,6.146,G_R3,-82.253,64.07,G_R3,-10.728,11.239,9.585,NULL,N
1657430,3506-713-1,1.41358778138167E+018,82244,82495,NULL,NULL,NULL,NULL,NULL,Dra,NULL,16.85991,51.632459,HIP_X,43.4809,-7.936,-25.795,34.091,G_R3,11.16,7.969,NULL,HIP,-15.86,G_R3,-63.795,-188.894,G_R3,-18.65,-15.901,-36.602,NULL,N
1658015,7371-106-1,5.97175932763842E+018,82270,82521,NULL,NULL,NULL,NULL,NULL,Sco,NULL,16.86608546,-36.02667348,T,37.3653,-8.8398,-28.8971,-21.9775,G_R3,12.04,9.178,2.248,HIP,NULL,N,49.838,-226.281,G_R3,15.337,19.961,-32.415,M2,HYG
1658077,2058-1090-1,4.56654206815369E+018,82272,82523,NULL,NULL,NULL,NULL,NULL,Her,NULL,16.866706,23.855311,HIP_X,36.5627,-9.777,-31.978,14.787,G_R3,12.34,9.525,2.1,HIP,-14.405,G_R3,322.469,-340.637,G_R3,50.32,-26.578,-59.822,NULL,N
1658302,987-984-1,4.55766309944845E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Her,NULL,16.86885753,14.76566073,T,41.7867,-11.792,-38.648,10.65,G_R3,10.509,7.404,1.445,T,0.683,G_R3,-14.446,-85.282,G_R3,-4.186,-3.915,-16.161,NULL,N
1658601,8725-886-1,5.9148517368381E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ara,NULL,16.87170076,-59.82948944,T,45.7783,-6.698,-22.011,-39.577,G_R3,11.868,8.565,1.193,T,41.966,G_R3,23.693,-28.594,G_R3,0.341,-16.542,-39.4,NULL,N
1659251,1525-34-1,4.55946732930513E+018,82317,82568,152446,NULL,NULL,NULL,NULL,Her,NULL,16.87809472,18.06213398,T,47.3069,-13.021,-43.05,14.667,G_R3,6.81,3.435,0.529,HIP,-42.472,G_R3,28.812,-22.628,G_R3,17.419,35.273,-17.993,F 8 IV,T
1659625,NULL,1.35290473821272E+018,119111,NULL,NULL,NULL,GJ 3979,NULL,NULL,Her,NULL,16.88184,40.084887,GJ,33.6913601875935,-7.439,-24.68,21.695,G_R3,13.44,10.802,NULL,GJ,-21.888,OTHER,-60.532,-225.337,G_R3,-11.111,-3.365,-41.629,NULL,NULL
1659658,2066-1168-1,1.30784139158747E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Her,NULL,16.88207473,28.12236961,T,49.2427,-12.53,-41.583,23.211,G_R3,9.911,6.449,1.028,T,-75.95,G_R3,-39.788,18.073,G_R3,11.006,68.719,-32.079,NULL,N
1659726,2589-1303-1,1.31323494279811E+018,82336,82587,152598,6279,NULL,NULL,53,Her,NULL,16.88279387,31.70167563,T,29.7606,-7.301,-24.245,15.639,G_R3,5.34,2.972,0.319,HIP,-22,HYG,-91.057,-17.686,G_R3,-7.282,20.371,-13.684,F 0 V,T
1659754,5051-1354-1,4.3812505475751E+018,82337,82588,152391,NULL,Gl 641,NULL,NULL,Oph,NULL,16.88300098,-0.02641869,T,16.8122,-4.847,-16.098,-0.008,G_R3,6.65,5.522,0.749,HIP,44.844,G_R3,-711.832,-1483.821,G_R3,-67.235,-26.533,-118.278,G8V,HYG
1660496,6226-1945-1,4.12742062608706E+018,82369,82621,152311,6269,NULL,NULL,NULL,Oph,NULL,16.8903415,-20.41556249,T,30.2883,-8.1309,-27.1957,-10.5651,G_R3,5.86,3.454,0.685,HIP,-17,HYG,-26.361,14.121,G_R3,0.735,15.671,7.83,G5 IV,T
1660713,3079-733-1,1.35793575982397E+018,82384,82636,152792,NULL,NULL,NULL,NULL,Her,NULL,16.89231369,42.82485604,T,46.7248,-9.799,-32.839,31.762,G_R3,6.81,3.462,0.631,HIP,4.973,G_R3,120.635,-325.794,G_R3,10.535,-58.14,-49.546,G0V,T
1661774,5059-975-1,4.37753746244812E+018,82436,82688,152555,NULL,NULL,NULL,NULL,Oph,NULL,16.90226224,-4.34018256,T,45.1959,-12.774,-43.218,-3.42,G_R3,7.82,4.545,0.591,HIP,-16.486,G_R3,-38.032,-114.132,G_R3,-2.63,19.849,-23.135,F8/G0 V,T
1661886,983-1469-1,4.44822365624748E+018,82442,82694,NULL,NULL,Gl 642,NULL,NULL,Oph,NULL,16.90334397,11.9146854,T,20.0799,-5.564,-18.843,4.146,G_R3,10.75,9.236,1.405,HIP,-66.35,G_R3,-543.691,316.205,G_R3,-29.491,82.878,15.752,M1,HYG
1662254,1525-133-1,4.55979903821874E+018,82460,82712,NULL,NULL,NULL,NULL,NULL,Her,NULL,16.90686124,18.74348293,T,40.3114,-10.7762,-36.6213,12.9533,G_R3,8.52,5.493,0.706,HIP,NULL,N,-39.962,-12.46,G_R3,-7.542,1.422,-2.255,K0,T
1662418,5654-202-1,4.14029497523369E+018,82470,82722,152533,NULL,NULL,NULL,NULL,Oph,NULL,16.90851657,-14.58323949,T,40.2837,-10.989,-37.405,-10.143,G_R3,9.66,6.634,1.027,HIP,-56.221,G_R3,-241.913,-150.603,G_R3,-26.945,72.173,-13.677,K3 V,T
1662549,7876-2871-1,5.96499149428166E+018,82477,82729,152334,6271,NULL,Zet-2,NULL,Sco,NULL,16.90972398,-42.36131128,T,41.2621,-8.585,-29.255,-27.803,G_R3,3.62,0.542,1.393,HIP,-19,HYG,-126.721,-228.837,G_R3,-11.339,49.39,-20.272,K3 III,T
